user,restoran,text,pesanan,harga,lokasi,kategori,rating
henie_herliani,Siomay SG,"Udah 2x makan siomay SG di event pergi kuliner.Ukurannya lumayan besar , pilihannya ada tahu , siomay, pare , kentang, telor dan kol .Bumbunya lekoh , msh ada tekstur kacangnya .Untuk adonannya berasa ikannya , empuk dan enak1 porsi nya bikin kenyang.","Telur, Tahu, Siomay, pare"," < Rp. 50.000


",Buah Batu,Indonesia,3.8
henie_herliani,Pincuk Daun,"Tempat makan dekat apartment, menu nya banyak pilihan .- Untuk nasinya ada 3 pilihan : nasi putih, nasi merah dan nasi Telang .* Gepuk : tebal tapi empuk, bumbunya berasa dan enak * Nasi Telang : pulen dan enak .* Semur jengkol : lekoh bumbunya , jengkolnya juga empuk dan enak .* Perkedel jagung : ukurannya lebar dan tebal , cuman kurang berasa bumbunya * Sambel terasinya enak , cuman ga pedas .","Semur Jengkol, Gepuk, Perkedel Jagung, Nasi Telang"," < Rp. 50.000


",Gunung Batu,Indonesia,3.8
henie_herliani,Diamond Coffee,"Ngopi sambil liat lalu lalang jalanan.Selain kopi ada cemilan dan makanan berat juga * Ice brown sugar latte : kopinya berasa dan lumayan pait dilidah ,  creamy dan manisnya pas.* Bala - bala : tebal tapi garing diluar dan lembut di dalam. Ada cocolan kecap yang dicampur irisan cabe rawit.","ice brown sugar latte, bala²"," < Rp. 50.000


",Gunung Batu,Kafe,3.6
henie_herliani,Tatsu Ramen & Izakaya,"Dapet promo diskon 50 % lumayan banget .Nyobain 3 menu ramen dan cemilannya juga .Mie nya tipe kecil , untuk ukuran regular udah mengenyangkan karna isinya banyak .- Tori namban : daging ayam yg dibalur tepung , luarnya garing tapi dalemnya lembut. Daging ayamnya tebal dan enak .Saus tartar nya enak , gurih dan creamy.- orijinaru tatsu ramen regular : kuahnya lekoh dan gurih . daging ayamnya bagian paha jadi ada lemak²nya , ada telur rebusnya juga . - tatsu tantanmen reguler: kuahnya merah , lekoh dan gurih . Topping nya daging ayam cincang dan telur rebus. Favorit banget - miso ramen regular : kuahnya lekoh tapi kurang gurih . Topping ayamnya tebal dan besar², ada telur rebus nya juga .- Orange Nestle : seger , lekoh dan Orange nya berasa banget.","Orijinaru tatsu ramen regular, tatsu tantanmen reguler, miso ramen regular, Orange nestle, Tori Namban"," Rp. 50.000 - Rp. 100.000


",Riau,Jepang,3.8
henie_herliani,Ayam Goreng Tepung Kartin,Dengan Rp 17.000 udah dapet paket nasi timbel dan ayam yang ukurannya besar.Untuk potongan ayamnya ada dada / sayap .Lalabnya ada timun dan saos sambal untuk cocolannya. - ayamnya crispy diluar tapi dalemnya masih lembut . Dagingnya besar² ukurannya.,Ayam goreng tepung sayap + nasi," < Rp. 50.000


",Sukajadi,Indonesia,3.8
henie_herliani,HokBen (Hoka Hoka Bento),"Menu andalan di HokBen yaitu Hoka hemat.- Hoka hemat 1 : isinya ada ekkado dan egg chicken roll . Ekkadonya enak , gurih dan garing .Egg chicken roll nya berasa banget dagingnya.Saladnya juara , nasinya bersih dan pulen .- Hoka hemat 3 : isinya ada shrimp roll dan egg chicken roll . Shrimp rollnya lumayan besar, garing dan enak . egg roll nya enak berasa dagingnya . Saladnya juara dan nasinya bersih dan pulen.","Hoka Hemat 1, Hoka hemat 3"," < Rp. 50.000


",[ Merdeka ],,3.8
henie_herliani,Bandung Cheesecuit,"Nyoba varian baru nya yang durian .Ga nyangka seenak itu , pas buka aroma durian nya udah tercium .Dan rasa duriannya asli , lembut dan enak banget pokoknya harus coba bagi pecinta durian.",Durian," < Rp. 50.000


",Antapani,Toko Kue,3.6
henie_herliani,Farel Patisserie Cafe,"Beli kopi susu pakai kupon pergi kuliner , lumayan jadi lebih murah karna potongan 25 rb . - kopi susu farel 1 liter : kopinya berasa , creamy dan manisnya pas . Stok 1 liter bisa buat persediaan klo mau kopi tinggal ambil dikulkas .",Kopi susu farel 1 liter," < Rp. 50.000


",Buah Batu,Kafe,3.8
henie_herliani,Delchi Patisserie,"Tempatnya cozy banget , menunya lumayan banyak.Bisa nongkrong sambil ngemil disini .- slice shortcake matcha : matchanya berasa banget , ada pistachio didalam cakenya . Manisnya pas dan cakenya lembut .- slice Mille crepes strawberry lemon cheese : lembut dan ga giung , strawberry nya bikin seger . 1 slice cake pasti abis sendiri karna bener² ga kemanisan , dan enak rasanya .","Slice shortcake matcha, slice mille crepes strawberry lemon cheese"," Rp. 50.000 - Rp. 100.000


",Antapani,Toko Kue,3.8
henie_herliani,Baso Cuankie Serayu,"Udah lama ga kesini , tetep aja antriannya panjang.- batagor : bumbu kacangnya enak , batagornya garing dan enak .tambah sambel makin mantap - baso cuankie : ada isian batagor , baso dan siomay.Kuahnya gurih dan  basonya enak . Ditambah sambel dan cuka jadi pedes seger dan gurih .Ga heran selalu antri terus karna selain enak , harganya pun terjangkau.","Batagor 1/2, baso cuankie 1/2"," < Rp. 50.000


",Riau,Indonesia,3.8
